ticker,company,datetime,text
AAPL,Apple Inc.,2022-09-29 22:23:54+00:00,"$NIO just because I'm down money doesn't mean this is a bad investment. The whole market, everything sucks right now. 2-5 years from now, I'm confident it will pay off. Long the best $AAPL $AMZN $TSLA $GOOGL $NIO"
MSFT,Microsoft Corporation,2022-09-29 22:23:54+00:00,"$NIO just because I'm down money doesn't mean this is a bad investment. The whole market, everything sucks right now. 2-5 years from now, I'm confident it will pay off. Long the best $AAPL $AMZN $TSLA $GOOGL $NIO"
NIO,NIO Inc.,2022-09-29 22:23:54+00:00,"$NIO just because I'm down money doesn't mean this is a bad investment. The whole market, everything sucks right now. 2-5 years from now, I'm confident it will pay off. Long the best $AAPL $AMZN $TSLA $GOOGL $NIO"
AMZN,"Amazon.com, Inc.",2022-09-29 22:23:54+00:00,"$NIO just because I'm down money doesn't mean this is a bad investment. The whole market, everything sucks right now. 2-5 years from now, I'm confident it will pay off. Long the best $AAPL $AMZN $TSLA $GOOGL $NIO"
TSM,Taiwan Semiconductor Manufacturing Company Limited,2022-09-29 22:23:02+00:00,"EG vs FNC is a deadly matchup.

EG using their strat vs TSM by cutting the studio audio the night before to delay the gameday infinitely.

vs Fnatic who will pause mid-teamfight alongside EG
 
this is the future of league"
COST,Costco Wholesale Corporation,2022-09-29 22:00:45+00:00,"I mentioned 1 trade today for $COST Puts @ $10.50 ran to $12.50 

20% move, and that was just a test video…

It is what it is…"
TSM,Taiwan Semiconductor Manufacturing Company Limited,2022-09-29 21:50:16+00:00,@BTSsmash @coinbase @Panda_Plup @LiquidHbox @TSM_Leffen @Wizzrobe @ZainNaghmi @aMSaRedyoshi @jakedirado @iBDWSSBM @C9Mang0 @Pipsqueak_TV ken seething rn
AMD,"Advanced Micro Devices, Inc.",2022-09-29 21:18:55+00:00,"$MSFT $GOOGL $NVDA $AMD all hit 52W low today.

More selling could be on the way until something broken &amp; the market reset… watch PCE tomorrow!"
TSM,Taiwan Semiconductor Manufacturing Company Limited,2022-09-29 21:13:20+00:00,"I keep looking at the current #R6NAL standings and I still can't believe what I'm seeing. Anything Can Happen, right?

1) @SoniqsEsports 
2) @TSM 
3) @XSET 
4) @MirageSportE 
5) @DarkZeroGG 
6) @Spacestation 
7) @PBLMesports 
8) @Astralisgg 
9) @OXG_Esports 
10) @beastcoast https://t.co/MK6Zprc7GH"
AMD,"Advanced Micro Devices, Inc.",2022-09-29 20:37:01+00:00,"After trading for 9+ years 

This is how to find entries and exits and scale out of positions 

RT Like and Subscribe 🔔
$SPY $SPX $QQQ $AAPL $AMD 

https://t.co/o9UBtIakxu"
AAPL,Apple Inc.,2022-09-29 20:37:01+00:00,"After trading for 9+ years 

This is how to find entries and exits and scale out of positions 

RT Like and Subscribe 🔔
$SPY $SPX $QQQ $AAPL $AMD 

https://t.co/o9UBtIakxu"
AAPL,Apple Inc.,2022-09-29 20:19:43+00:00,"Not something you see very often.  
-2 ATR move on $AAPL https://t.co/CVLgPWHz3F"
COST,Costco Wholesale Corporation,2022-09-29 20:18:02+00:00,"Impossible to go to Costco now and not be harassed by these consignment vendors selling you from solar to water delivery and what not 

What a disaster 

Craig WTF going on man? 

$cost"
AAPL,Apple Inc.,2022-09-29 20:13:48+00:00,"$AAPL was down almost 5% today. Rare to see it sell off like this. Headline was fears of demand slowly triggered the BofA downgrade. 

Despite the fears, demand seems to be favorable for iPhone 14. At least for today."
NIO,NIO Inc.,2022-09-29 20:05:04+00:00,"On September 27, NIO announced the collaboration with The Danish Society for Nature Conservation and The Danish Nature Foundation to promote sustainable development in Denmark, take better care of nature, and have a greater positive impact. https://t.co/UycU7HMQYs #CleanParks https://t.co/LtWmVWl1e3"
AAPL,Apple Inc.,2022-09-29 19:50:00+00:00,$AAPL APPLE JUST FIRED ITS HEAD OF PROCUREMENT THAT HAD BEEN WITH APPLE FOR OVER 22 YEARS JUST BASED ON THIS TIKTOK HE RANDOMLY APPEARED IN. https://t.co/6joleNwcpK
TSM,Taiwan Semiconductor Manufacturing Company Limited,2022-09-29 19:35:26+00:00,@BTSsmash @coinbase @Panda_Plup @LiquidHbox @TSM_Leffen @Wizzrobe @ZainNaghmi @aMSaRedyoshi @jakedirado @iBDWSSBM @C9Mang0 @Pipsqueak_TV cool
NFLX,"Netflix, Inc.",2022-09-29 19:33:39+00:00,"One in four Netflix, $NFLX, users say they're planning to ditch the app this year as the cost of living crisis bites, per Reviews. org."
TSM,Taiwan Semiconductor Manufacturing Company Limited,2022-09-29 19:19:05+00:00,@joe1chief @BTSsmash @coinbase @Panda_Plup @LiquidHbox @TSM_Leffen @Wizzrobe @ZainNaghmi @aMSaRedyoshi @jakedirado @iBDWSSBM @C9Mang0 @Pipsqueak_TV couldn't come to last summit because covid :(
AMD,"Advanced Micro Devices, Inc.",2022-09-29 19:08:26+00:00,"$AMD - (Weekly) Update - Finally filling the imbalance today beautifully 

Made the callout 66P .80 currently 3.05 (281%)

Even told the wolves its hitting 62 today 

This is what trading with 9+ years of experience looks like 😎 https://t.co/nWnjPCv1wW https://t.co/cOJnTF22NU"
META,"Meta Platforms, Inc.",2022-09-29 19:07:54+00:00,"*META ANNOUNCES HIRING FREEZE, WARNS EMPLOYEES OF RESTRUCTURING

$META $FB https://t.co/7ndrg7yUjL"
NIO,NIO Inc.,2022-09-29 19:02:23+00:00,"ET5 public test drive is started. 
Delivery starts tomorrow. I will share delivery video if I see any. $NIO https://t.co/DIcDdMZZ3b"
NIO,NIO Inc.,2022-09-29 18:51:46+00:00,"Ignore the stock price folks, just look what $NIO is doing.
They are absolutely smashing it."
PG,Procter & Gamble Company,2022-09-29 18:34:51+00:00,"Today’s drop in $SPX is a perfect example of what happens when $AAPL and $AMZN turn lower.

There are a few names that have held up markets for years.

Those names are finally dropping and we are beginning to see the damage.

No healthy market is driven by just a few names."
MSFT,Microsoft Corporation,2022-09-29 18:34:51+00:00,"Today’s drop in $SPX is a perfect example of what happens when $AAPL and $AMZN turn lower.

There are a few names that have held up markets for years.

Those names are finally dropping and we are beginning to see the damage.

No healthy market is driven by just a few names."
AMZN,"Amazon.com, Inc.",2022-09-29 18:34:51+00:00,"Today’s drop in $SPX is a perfect example of what happens when $AAPL and $AMZN turn lower.

There are a few names that have held up markets for years.

Those names are finally dropping and we are beginning to see the damage.

No healthy market is driven by just a few names."
AMD,"Advanced Micro Devices, Inc.",2022-09-29 18:01:44+00:00,"$AMD
Have I ever told you guys what a ""Volume Gap"" is?

I can't remember 🤔

AMD melting like a hot knife through butter.... https://t.co/xnxNbea4lT"
KO,The Coca-Cola Company,2022-09-29 17:59:47+00:00,"Lower prices in dividend stocks presents higher dividend yields - I buy fear and panic

$O 4.93%
$ABBV  3.9%
$TXN 3.05%
$TROW 4.38%
$PRU 5.03% 
$MO 9.08%
$ENB 6.51%
$MMM 5.22%
$ABR 12.58%
$INTC 5.38%
$KO 3.09%"
INTC,Intel Corporation,2022-09-29 17:59:47+00:00,"Lower prices in dividend stocks presents higher dividend yields - I buy fear and panic

$O 4.93%
$ABBV  3.9%
$TXN 3.05%
$TROW 4.38%
$PRU 5.03% 
$MO 9.08%
$ENB 6.51%
$MMM 5.22%
$ABR 12.58%
$INTC 5.38%
$KO 3.09%"
NIO,NIO Inc.,2022-09-29 17:43:19+00:00,"Yes, I have been buying more $NIO in my trading portfolio today. 

I’m not waiting … 

🧘🏻"
MSFT,Microsoft Corporation,2022-09-29 15:57:59+00:00,"Druckenmiller owned $CVNA this year 
Munger bought $BABA on margin 
Aswath “Dean of Valuation” Damodoran loved $AMZN and $META all year 

No one is safe from investing losses but be wary of anyone always on the right side of every trade. 

And there’s a long list on this bird app"
AMZN,"Amazon.com, Inc.",2022-09-29 15:57:59+00:00,"Druckenmiller owned $CVNA this year 
Munger bought $BABA on margin 
Aswath “Dean of Valuation” Damodoran loved $AMZN and $META all year 

No one is safe from investing losses but be wary of anyone always on the right side of every trade. 

And there’s a long list on this bird app"
PG,Procter & Gamble Company,2022-09-29 15:57:59+00:00,"Druckenmiller owned $CVNA this year 
Munger bought $BABA on margin 
Aswath “Dean of Valuation” Damodoran loved $AMZN and $META all year 

No one is safe from investing losses but be wary of anyone always on the right side of every trade. 

And there’s a long list on this bird app"
NFLX,"Netflix, Inc.",2022-09-29 15:10:34+00:00,"Something is up at $NFLX 

Been way too resilient lately in a horrible tape."
COST,Costco Wholesale Corporation,2022-09-29 15:10:30+00:00,"Top 10 $QQQ Holdings 

And Credit Rating

$AAPL : AAA
$MSFT : AAA
$AMZN : A1
$TSLA : BA1
$GOOG: AA2
$GOOGL: AA2
$META : A1
$NVDA : A2
$PEP : A1
$COST : AA3

In the coming months investors will learn why credit ratings were important."
PG,Procter & Gamble Company,2022-09-29 15:10:30+00:00,"Top 10 $QQQ Holdings 

And Credit Rating

$AAPL : AAA
$MSFT : AAA
$AMZN : A1
$TSLA : BA1
$GOOG: AA2
$GOOGL: AA2
$META : A1
$NVDA : A2
$PEP : A1
$COST : AA3

In the coming months investors will learn why credit ratings were important."
GOOG,Alphabet Inc.,2022-09-29 15:10:30+00:00,"Top 10 $QQQ Holdings 

And Credit Rating

$AAPL : AAA
$MSFT : AAA
$AMZN : A1
$TSLA : BA1
$GOOG: AA2
$GOOGL: AA2
$META : A1
$NVDA : A2
$PEP : A1
$COST : AA3

In the coming months investors will learn why credit ratings were important."
MSFT,Microsoft Corporation,2022-09-29 15:10:30+00:00,"Top 10 $QQQ Holdings 

And Credit Rating

$AAPL : AAA
$MSFT : AAA
$AMZN : A1
$TSLA : BA1
$GOOG: AA2
$GOOGL: AA2
$META : A1
$NVDA : A2
$PEP : A1
$COST : AA3

In the coming months investors will learn why credit ratings were important."
AMZN,"Amazon.com, Inc.",2022-09-29 15:10:30+00:00,"Top 10 $QQQ Holdings 

And Credit Rating

$AAPL : AAA
$MSFT : AAA
$AMZN : A1
$TSLA : BA1
$GOOG: AA2
$GOOGL: AA2
$META : A1
$NVDA : A2
$PEP : A1
$COST : AA3

In the coming months investors will learn why credit ratings were important."
AMD,"Advanced Micro Devices, Inc.",2022-09-29 14:03:44+00:00,"Thank you @AMD for inviting us for the launch of the new Ryzen 7000 series CPUs! We had a blast meeting many new and old friends. 

Pictured: @JdFaker @gadtan @nikhathi @yungalysha 

Get ready for the most advanced processor for gamers💪🏽 #pprxteam https://t.co/y4p6xLZxSm"
GOOG,Alphabet Inc.,2022-09-29 13:02:19+00:00,That's right everyone - $GOOG is officially a shitco. 1 year ago it was the greatest business in existence. Now it is simply a second rate ad platform on top of aged out tech.
GOOG,Alphabet Inc.,2022-09-29 10:18:43+00:00,"Stocks I think entering intriguing levels to add to (several I’m already overweight):

$AMZN - $100
$GOOG - $90
$AXON - $100
$CELH - $75
$ZS - $150
$AAPL - $130
$HD - $275
$DDOG - $80"
ZS,"Zscaler, Inc.",2022-09-29 10:18:43+00:00,"Stocks I think entering intriguing levels to add to (several I’m already overweight):

$AMZN - $100
$GOOG - $90
$AXON - $100
$CELH - $75
$ZS - $150
$AAPL - $130
$HD - $275
$DDOG - $80"
GOOG,Alphabet Inc.,2022-09-29 09:20:12+00:00,"it is my duty to put this round goog on tl regularly 🫡 we all need a bit of devastation once in a while 
https://t.co/dkhqSKAGL8"
GOOG,Alphabet Inc.,2022-09-29 04:59:06+00:00,"$GOOG smells of Ballmer-era $MSFT. Founders departed long ago to sip mojitos, suits swooped in to siphon the cash cow. Too many pampered employees earning 6-7 digits to squeeze out a few %. Ad blocker risk.

Where’s the next GMail, YouTube, Android? Those happened 15 yrs ago."
DIS,The Walt Disney Company,2022-09-29 03:00:34+00:00,"Detailed watchlist for tomorrow!

If you're not prepping a detailed list of ideas for tomorrow with key levels and setups then you don't like money!

Let's shred tomorrow

$SPY $DIS $CHPT $MS $CHWY $NVDA $AAPL $AMD $TSLA https://t.co/vMpT0tdqaE"
NFLX,"Netflix, Inc.",2022-09-29 00:30:00+00:00,"Analysts have recently called out these tech stocks with price targets and upside potential:

$SQ $DDOG $LCID $NEWR $MNDY $PD $NFLX https://t.co/aDtppvWNo1"
INTC,Intel Corporation,2022-09-28 23:30:49+00:00,"Intel just opened up OneAPI.
Anyone who contributes can vote in the governing body.
We could see OneAPI become the standard for the entire industry due to this.
It's a long road of course.
$INTC $NVDA
https://t.co/2gbBaiLcGC"
ENPH,"Enphase Energy, Inc.",2022-09-28 19:51:52+00:00,"A few stocks in trend are trying to suck me back in, but it seems like low odds yet to attempt low risk long swings: $VRTX, $FSLR, $ENPH, $EVH, $CECE, $SNDX, $RYTM The short side may set up better after a bounce. https://t.co/bwFBOM8FGi"
NFLX,"Netflix, Inc.",2022-09-28 19:18:00+00:00,Netflix is on fire today. No question they will do well with an ad supported network. Just as people complain about how much it costs. Ad supported might be more profitable than expected... $NFLX
VZ,Verizon Communications Inc.,2022-09-28 18:47:16+00:00,"Some different level yields…

LOW YIELD DIVIDEND STOCKS
$COST Costco 0.77%
$V Visa  0.82%
$MSFT Microsoft 1.14%

MID YIELD DIVIDEND STOCKS
$SBUX Starbucks 2.33%
$HD Home Depot 2.81%
$CAT Caterpillar 2.92%

HIGH YIELD DIVIDEND STOCKS
$MO Altria 9%
$VZ Verizon 6.62%
$IBM IBM 5.38%"
COST,Costco Wholesale Corporation,2022-09-28 18:47:16+00:00,"Some different level yields…

LOW YIELD DIVIDEND STOCKS
$COST Costco 0.77%
$V Visa  0.82%
$MSFT Microsoft 1.14%

MID YIELD DIVIDEND STOCKS
$SBUX Starbucks 2.33%
$HD Home Depot 2.81%
$CAT Caterpillar 2.92%

HIGH YIELD DIVIDEND STOCKS
$MO Altria 9%
$VZ Verizon 6.62%
$IBM IBM 5.38%"
PYPL,"PayPal Holdings, Inc.",2022-09-28 16:45:19+00:00,"Tech stock declines from their Pre-COVID Prices👀

$TDOC: -76%
$BABA: -65%
$FSLY: -63%
$ROKU: -55%
$SHOP: -47%
$TWLO: -45%
$NFLX: -41%
$SNAP: -41%
$SQ: -33%
$META: -32%
$UBER: -31%
$PYPL: -30%
$CRM: -22%
$ZM: -19%

If you liked these companies pre covid, you should love them now"
NFLX,"Netflix, Inc.",2022-09-28 16:45:19+00:00,"Tech stock declines from their Pre-COVID Prices👀

$TDOC: -76%
$BABA: -65%
$FSLY: -63%
$ROKU: -55%
$SHOP: -47%
$TWLO: -45%
$NFLX: -41%
$SNAP: -41%
$SQ: -33%
$META: -32%
$UBER: -31%
$PYPL: -30%
$CRM: -22%
$ZM: -19%

If you liked these companies pre covid, you should love them now"
CRM,"Salesforce, Inc.",2022-09-28 16:45:19+00:00,"Tech stock declines from their Pre-COVID Prices👀

$TDOC: -76%
$BABA: -65%
$FSLY: -63%
$ROKU: -55%
$SHOP: -47%
$TWLO: -45%
$NFLX: -41%
$SNAP: -41%
$SQ: -33%
$META: -32%
$UBER: -31%
$PYPL: -30%
$CRM: -22%
$ZM: -19%

If you liked these companies pre covid, you should love them now"
COST,Costco Wholesale Corporation,2022-09-28 16:28:55+00:00,Long $COST https://t.co/3AvsqYuEhl
KO,The Coca-Cola Company,2022-09-28 14:10:47+00:00,"Some of the best “sales” out there right now. You’ll look back at these prices before long and wish you bought more.

$AAPL at $146
$AMZN at $114
$BLK at $580
$DIS at $97
$HD at $274
$JNJ at $165
$JPM at $107
$KO at $56
$MSFT at $234
$O at $60
$TROW at $108
$V at $175

What else?"
DIS,The Walt Disney Company,2022-09-28 14:10:47+00:00,"Some of the best “sales” out there right now. You’ll look back at these prices before long and wish you bought more.

$AAPL at $146
$AMZN at $114
$BLK at $580
$DIS at $97
$HD at $274
$JNJ at $165
$JPM at $107
$KO at $56
$MSFT at $234
$O at $60
$TROW at $108
$V at $175

What else?"
ZS,"Zscaler, Inc.",2022-09-28 13:47:08+00:00,"Update: Probably my final buys this year unless we see another real leg down. I think the growth stocks will bottom out soon if they haven't already.

Added to $SNOW @ $169
$CRWD @ $ 163
$ZS @ $ 163
$DDOG @ $88
and a little $MDB @ 191

Will check these prices 2 years from now."
KO,The Coca-Cola Company,2022-09-28 13:45:01+00:00,"Dividend Kings = 50+ CONSECUTIVE years of Dividend Growth

Dividend Aristocrats = 25+ CONSECUTIVE years of Dividend Growth

👑 Kings
$MO
$PG
$MMM
$JNJ
$KO
$FRT
$TGT
$PEP

🎓 Aristocrat
$MCD
$AFL
$TROW
$CLX
$CAT
$GD
$ESS
$MKC"
PYPL,"PayPal Holdings, Inc.",2022-09-28 11:52:58+00:00,"News was supposed to come before oct / 2.7 m in weeklies/ crazy Iv on cons / premiums  
$Biib let options n premiums tell story 

$Fdx find similar setups like $wmt n piece together 

$pypl vol in red market n strange buys / weeklies at the ask 

$Nasa himmothy"
DIS,The Walt Disney Company,2022-09-27 22:06:06+00:00,"Ryan Reynolds and Hugh Jackman will return as Deadpool and Wolverine for Deadpool 3, by Disney, $DIS, on September 9, 2024. https://t.co/iFXtEDeDdE"
DIS,The Walt Disney Company,2022-09-27 21:40:00+00:00,"$DIS: Hugh Jackman returning as Wolverine in 'Deadpool 3,' which is set to release in 2024 https://t.co/0D8IaO9S1h"
DIS,The Walt Disney Company,2022-09-27 21:12:50+00:00,Hugh Jackman will return as Wolverine in Deadpool 3 with Ryan Reynolds according to Variety $DIS https://t.co/07u9OCJ14i
INTC,Intel Corporation,2022-09-27 20:39:25+00:00,"Bought 2 shares of $MSFT at $236.34, 1 share of $V at $179.17, 4 shares of $MO at $41.10, and 2 shares of $INTC at $26.78"
ZS,"Zscaler, Inc.",2022-09-27 20:00:00+00:00,"More reasons cybersecurity stocks have been resilient this year:

In 2021, there was a 50% increase in attacks on corporate networks compared to 2020, with the biggest increases occurring in Europe and North America. 

Source: Checkpoint

$CRWD $PANW $PD $OKTA $S $DDOG $ZS $NET https://t.co/aW6ENdp3Nx"
BX,Blackstone Inc.,2022-09-27 16:08:20+00:00,"It’s an extraordinary time to buy quality, income-generating assets -- perhaps the best we'll see in many years. Companies I’ve bought or added to recently:

$AOS
$BX
$CAT
$DEA
$DLR
$EGP
$LSI
$MAA
$MTN
$NKE
$ROP
$SPG
$SPGI
$STAG
$SUI
$SWK
$TXN
$WPC

What have you been buying?"
INTC,Intel Corporation,2022-09-26 20:50:44+00:00,"While semis have been under pressure due to macro factors, some have been able to grow their cash substantially. Here’s a look at the top stocks with the biggest YoY growth in their cash:

$ADI $NVDA $AVGO $AMD $TSM $TXN $SNPS $ON $NXPI $MPWR $INTC $CDNS $MCHP $QCOM $KLAC https://t.co/hSNsAVn1nC"
VZ,Verizon Communications Inc.,2022-09-26 20:34:41+00:00,"🎯Monday Dividend Stock Purchases🎯

2 shares $SCHD at $69.15
2 shares $O at $60.40
2 shares $CUBE at $39.15
2 shares $SPG at $86.75
5 shares $LEG at $33.38
5 shares $CMCSA at $30.77
2 shares $VFC at 35.03
2 shares $MDT at $81.60
3 shares $VZ at $38.89

What did you buy today?"
XPEV,XPeng Inc.,2022-09-26 20:09:52+00:00,"$NIO closes ⬇️ 0.28% on a day where $XPEV and $LI close ⬆️ 4.74% and 5.56% respectively. Shockingly, $LI up after cutting delivery guidance and $NIO down on positive news across multiple fronts. Someone make it make sense."
INTC,Intel Corporation,2022-09-26 18:26:14+00:00,"These companies are the same price as they were many years ago, accounting for dividends.

$META Meta $138 - 2017
$VZ Verizon $38 - 2016
$DIS Disney $98 - 2015
$BABA Alibaba $80 - 2015
$INTC Intel $27 - 2014
$MMM 3M $112 - 2014"
VZ,Verizon Communications Inc.,2022-09-26 18:26:14+00:00,"These companies are the same price as they were many years ago, accounting for dividends.

$META Meta $138 - 2017
$VZ Verizon $38 - 2016
$DIS Disney $98 - 2015
$BABA Alibaba $80 - 2015
$INTC Intel $27 - 2014
$MMM 3M $112 - 2014"
CRM,"Salesforce, Inc.",2022-09-26 14:22:57+00:00,"Today I sold my $ADBE position and put the money into $GOOG $CRM. 
Here are my reasons 👇 https://t.co/WXg387sirq"
CRM,"Salesforce, Inc.",2022-09-26 13:25:10+00:00,"1/ Former $ADBE VP of Business Development and Product Operations thinks that the acquisition of Figma was 80% defensive

The high price tag might come from a bidding war with $CRM and Canva (merge) https://t.co/6GqWNT8tDA"
VZ,Verizon Communications Inc.,2022-09-26 12:17:24+00:00,"A lot of companies have yet to confirm, but here's what we are looking at so far over the coming month. 

https://t.co/lObOE0dgsr 

$NFLX $CMG $NKE $MU $CMCSA $DPZ $UNH $TECK $UNP $VZ $T $DOW $USB $BMY $KIM $JPM $JNJ $F $WFC $CAT $SYF $MTB $TFC $CMA $ZION $FITB $CCL $C $MS $BKR https://t.co/J2YF7uJLMq"
ENPH,"Enphase Energy, Inc.",2022-09-26 03:17:00+00:00,"All charts posted for the weekend. I hope they were helpful!

If you haven't watched the weekend video update, make sure to check it out below. 

Watch here:
https://t.co/ITainVFsLx

Reviewed: 
$ES_F
$NQ_F
$IWM
#Bitcoin 
$TSLA
$AAPL
$NVDA
$MSFT
$ENPH https://t.co/c5P1SjNTbq"
BA,The Boeing Company,2022-09-26 00:01:01+00:00,"$TSLA - Above 273 - Trade Idea 💡 - Sept 30 280C 

Closed at 275.33

Let's see if TSLA can bottom near 273 and set up for a bounce to 285 this week

Puts can work under 273/268
-
$AAPL $ARKK $AMD $AMZN $BA $META $MSFT $NFLX $NIO $ES_F $NVDA $QQQ $MDB $SPX $SPY $TGT $TSLA $ZM https://t.co/YDzsHtucOu"
KO,The Coca-Cola Company,2022-09-25 19:48:08+00:00,"Watchlist this week
 
$O Realty Income 4.81% dividend yield
$EPRT Essential Realty 5.19% yield 
$MMM 3M 5.27% dividend yield 
$TROW T Rowe 4.47% dividend yield 
$EPD Enterprise Prod. 8.04% yield
$KO Coca-Cola 3.00% dividend yield 

Patience. Opportunity 

What’s on your list?"
KO,The Coca-Cola Company,2022-09-25 14:46:49+00:00,"Buy companies you use everyday 

$AAPL 📲
$SBUX ☕️
$PG 🧼
$V 💳
$COST 🛒 
$KO 🥤
$WMT 🛒
$VZ 📲
$MCD 🍔
$HD 🛠

In my opinion these companies aren’t going anywhere!"
VZ,Verizon Communications Inc.,2022-09-25 14:46:49+00:00,"Buy companies you use everyday 

$AAPL 📲
$SBUX ☕️
$PG 🧼
$V 💳
$COST 🛒 
$KO 🥤
$WMT 🛒
$VZ 📲
$MCD 🍔
$HD 🛠

In my opinion these companies aren’t going anywhere!"
PYPL,"PayPal Holdings, Inc.",2022-09-25 14:34:16+00:00,"Year-to-Date Performance:

1. $FB: -59%
2. $AAPL: -17%
3. $AMZN: -33%
4. $NFLX: -62%
5. $GOOGL: -32%
6. $TSLA: -31%
7. $MSFT: -29%
8. $DIS: -36%
9. $NVDA: -58%
10. $BABA: -35%
11. $PYPL: -55%

Imagine the damage once housing prices crash next.

The bubble is officially bursting."
META,"Meta Platforms, Inc.",2022-09-25 14:34:16+00:00,"Year-to-Date Performance:

1. $FB: -59%
2. $AAPL: -17%
3. $AMZN: -33%
4. $NFLX: -62%
5. $GOOGL: -32%
6. $TSLA: -31%
7. $MSFT: -29%
8. $DIS: -36%
9. $NVDA: -58%
10. $BABA: -35%
11. $PYPL: -55%

Imagine the damage once housing prices crash next.

The bubble is officially bursting."
BA,The Boeing Company,2022-09-25 02:00:37+00:00,"Boeing $BA Stock Drops as the Company Agrees to Pay $200 Million to Resolve Sec Allegations Connected to 737 Max Crashes 📉

#BoeingCompany #BA #Stocks #StockMarket #Investing https://t.co/E2hYwWYbrL"
XPEV,XPeng Inc.,2022-09-24 18:29:00+00:00,"How to use @unusual_whales to make over 70% Day Trading $TSLA!

This video is a MUST WATCH! so you can learn to replicate!

📺Watch Video Here 👇
https://t.co/s0J7JLJiof

$SPX $SPY $SHOP $NVDA $AMZN $NFLX $ROKU $TSLA $NIO $XPEV $GME $AMC $BYND $QCOM $ABNB $MRNA $RBLX $UPST"
PYPL,"PayPal Holdings, Inc.",2022-09-24 17:54:35+00:00,"2022 Returns
$TWTR: -4%
$AAPL: -15%
$TSLA: -22%
$MSFT: -29%
$GOOG: -31%
$AMZN: -32%
$GME: -33%
$CRM: -42%
$TEAM: -43%
$SNOW: -49%
$ADBE: -50%
$MRNA: -51%
$AMD: -53%
$PYPL: -54%
$ETSY: -56%
$NVDA: -57%
$META: -58%
$ZM: -60%
$SPOT: -62%
$NFLX: -62%
$SQ: -65%
$SNAP: -78%
$SHOP: -79%"
CRM,"Salesforce, Inc.",2022-09-24 17:54:35+00:00,"2022 Returns
$TWTR: -4%
$AAPL: -15%
$TSLA: -22%
$MSFT: -29%
$GOOG: -31%
$AMZN: -32%
$GME: -33%
$CRM: -42%
$TEAM: -43%
$SNOW: -49%
$ADBE: -50%
$MRNA: -51%
$AMD: -53%
$PYPL: -54%
$ETSY: -56%
$NVDA: -57%
$META: -58%
$ZM: -60%
$SPOT: -62%
$NFLX: -62%
$SQ: -65%
$SNAP: -78%
$SHOP: -79%"
ENPH,"Enphase Energy, Inc.",2022-09-24 14:29:00+00:00,"New weekend video update is now available!

Watch the analysis here:
https://t.co/ITainVnRmX

Reviewed (Timestamps):
$ES_F Start
$NQ_F 3:18 
$IWM 5:32
#Bitcoin 7:55
$TSLA 10:52
$AAPL 13:16
$NVDA 15:00
$MSFT 17:54
$ENPH 19:12 https://t.co/ZxLrRZnncj"
